layer,mean,std,inf_dist_from_one,min,max
0,13.754370,7.813556,21.950363,0.021133,22.950363
1,3.920321,3.827011,8.036795,0.008075,9.036795
2,3.716923,4.946134,10.378126,0.010403,11.378126
3,1.179554,1.418284,2.132911,0.003011,3.132911
4,0.869733,0.917354,0.998323,0.001677,1.984863
5,0.989578,0.963065,1.043450,0.001873,2.043450
6,1.051097,0.891828,0.998174,0.001826,1.912064
7,1.242235,0.808973,0.998309,0.001691,1.837064
8,1.375172,0.594134,0.998669,0.001331,1.669758
9,1.518602,0.352470,0.998477,0.001523,1.616919
10,1.523286,0.392282,0.998453,0.001547,1.654273
11,1.758178,0.365669,0.969750,0.030250,1.855173
12,1.524797,0.351779,0.998522,0.001478,1.620730
13,1.578077,0.400676,0.998684,0.001316,1.694752
14,1.969602,0.548598,1.149992,0.001866,2.149992
15,2.421947,0.760948,1.708905,0.002533,2.708905
16,2.017889,0.647786,1.268829,0.002077,2.268829
17,1.817001,0.565027,1.023849,0.001876,2.023849
18,1.293552,0.368646,0.995168,0.004832,1.412985
19,1.857101,0.537790,1.030571,0.001842,2.030571
20,1.332164,0.384314,0.998624,0.001376,1.454560
21,1.288878,0.383401,0.996638,0.003362,1.413380
22,1.388591,0.408537,0.996501,0.003499,1.519818
23,1.277244,0.362680,0.998722,0.001278,1.388019
24,1.191603,0.337263,0.994475,0.005525,1.293939
25,1.272510,0.355581,0.996825,0.003175,1.378781
26,1.501483,0.416995,0.998438,0.001562,1.625705
27,1.503268,0.416787,0.998479,0.001521,1.627020
28,1.774100,0.492622,0.998140,0.001860,1.920789
29,5.827368,3.015949,8.950735,0.009538,9.950735
